filename,tool,cutting_depth_ap,tool_diameter_d,diameter_ae,feed_vel_f,revol_N,num_of_inserts_z,feet_per_insert_fz,cut_vel_vc,Power,Energy,time,distance
Trace_080807_110938R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1189.33224064516,11427.1041681187,9.608,0.151966533333333
Trace_080807_110957R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1169.70966164412,11238.5704290767,9.608,0.151966533333333
Trace_080807_111114R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1179.23917386056,11330.1299824523,9.608,0.151966533333333
Trace_080807_111134R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1197.38460335068,11504.4712689933,9.608,0.151966533333333
Trace_080807_111153R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1195.77501931322,11489.0063855614,9.608,0.151966533333333
Trace_080807_111212R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1199.53954969823,11525.1759935006,9.608,0.151966533333333
Trace_080807_111232R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1200.79432295525,11537.2318549541,9.608,0.151966533333333
Trace_080807_111251R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1198.02017975026,11510.5778870405,9.608,0.151966533333333
Trace_080807_111310R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1200.19269369407,11531.4514010126,9.608,0.151966533333333
Trace_080807_111330R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1197.40974969823,11504.7128751006,9.608,0.151966533333333
Trace_080807_111350R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1192.99598890739,11462.3054614222,9.608,0.151966533333333
Trace_080807_111410R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1173.53571331946,11275.3311335734,9.608,0.151966533333333
Trace_080807_111534R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1174.6195566077,11285.7446998868,9.608,0.151966533333333
Trace_080807_111553R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1193.12950665973,11463.5882999867,9.608,0.151966533333333
Trace_080807_111613R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1192.0792012487,11453.4969655975,9.608,0.151966533333333
Trace_080807_111632R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1196.58284967742,11496.7680197006,9.608,0.151966533333333
Trace_080807_111652R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1199.41224170656,11523.9528183166,9.608,0.151966533333333
Trace_080807_111712R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1197.59003188345,11506.4450263362,9.608,0.151966533333333
Trace_080807_111731R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1200.6053821436,11535.4165116357,9.608,0.151966533333333
Trace_080807_111751R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1198.40588568158,11514.2837496286,9.608,0.151966533333333
Trace_080807_111810R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1195.85141521332,11489.7403973696,9.608,0.151966533333333
Trace_080807_111830R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1173.91516114464,11278.9768682777,9.608,0.151966533333333
Trace_080807_112141R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1186.13062819979,11396.3430757436,9.608,0.151966533333333
Trace_080807_112200R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1202.45449550468,11553.182792809,9.608,0.151966533333333
Trace_080807_112220R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1198.83146801249,11518.372744664,9.608,0.151966533333333
Trace_080807_112239R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1200.46893398543,11534.105517732,9.608,0.151966533333333
Trace_080807_112259R00R110R40R50R60.csv,wsp1030,0.002,0.04,0.03,0.0158166666666667,2108,3,1.5e-4,0.265,1201.4642141103,11543.6681691718,9.608,0.151966533333333
